x,y,noisy_x,noisy_y,x_neuron,y_neuron,pattern_str,state_count,is_collision,pattern_idx
-58.46153846153846,9.230769230769226,-58.46153846153846,9.230769230769226,7,13,x7_y13,4,True,126
-52.30769230769231,3.07692307692308,-52.30769230769231,3.07692307692308,7,13,x7_y13,4,True,126
-52.30769230769231,9.230769230769226,-52.30769230769231,9.230769230769226,7,13,x7_y13,4,True,126
-58.46153846153846,15.384615384615387,-58.46153846153846,15.384615384615387,7,14,x7_y14,2,True,127
-52.30769230769231,15.384615384615387,-52.30769230769231,15.384615384615387,7,14,x7_y14,2,True,127
-58.46153846153846,21.538461538461547,-58.46153846153846,21.538461538461547,7,15,x7_y15,4,True,128
-58.46153846153846,27.692307692307708,-58.46153846153846,27.692307692307708,7,15,x7_y15,4,True,128
-52.30769230769231,21.538461538461547,-52.30769230769231,21.538461538461547,7,15,x7_y15,4,True,128
-52.30769230769231,27.692307692307708,-52.30769230769231,27.692307692307708,7,15,x7_y15,4,True,128
-58.46153846153846,33.84615384615387,-58.46153846153846,33.84615384615387,7,16,x7_y16,4,True,129
-58.46153846153846,40.0,-58.46153846153846,40.0,7,16,x7_y16,4,True,129
-52.30769230769231,33.84615384615387,-52.30769230769231,33.84615384615387,7,16,x7_y16,4,True,129
-52.30769230769231,40.0,-52.30769230769231,40.0,7,16,x7_y16,4,True,129
-58.46153846153846,46.15384615384616,-58.46153846153846,46.15384615384616,7,17,x7_y17,4,True,130
-58.46153846153846,52.30769230769232,-58.46153846153846,52.30769230769232,7,17,x7_y17,4,True,130
-52.30769230769231,46.15384615384616,-52.30769230769231,46.15384615384616,7,17,x7_y17,4,True,130
-52.30769230769231,52.30769230769232,-52.30769230769231,52.30769230769232,7,17,x7_y17,4,True,130
-58.46153846153846,58.46153846153848,-58.46153846153846,58.46153846153848,7,18,x7_y18,2,True,131
-52.30769230769231,58.46153846153848,-52.30769230769231,58.46153846153848,7,18,x7_y18,2,True,131
-58.46153846153846,64.61538461538461,-58.46153846153846,64.61538461538461,7,19,x7_y19,4,True,132
-58.46153846153846,70.76923076923077,-58.46153846153846,70.76923076923077,7,19,x7_y19,4,True,132
